Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Nyctibatrachus_vasanthi	-	JN644894.1	-	-	-	-	-	-	-	-	-	JF274076.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctibatrachus_vrijeuni	-	-	-	-	-	-	-	-	-	-	-	JF274058.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctimantis_rugiceps	AY843780.1	AY843781.1	-	-	-	-	-	-	-	-	AY843945.1	-	EU034098.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctimystes_cheesmani	FJ965938.1	FJ945440.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctimystes_dayi	FJ965939.1	FJ945441.1	-	-	-	-	AF304266.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ283921.1	DQ282757.1	-	-
Nyctimystes_foricula	FJ965941.1	FJ945443.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AY819150.1	-	-	-	-	-	-
Nyctimystes_humeralis	FJ965942.1	FJ945444.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctimystes_kubori	JX564879.1	JX564879.1	-	JX564879.1	JX564879.1	-	JX564879.1	JX564879.1	JX564879.1	GQ365991.1	JX564879.1	JX564879.1	JX564879.1	JX564879.1	JX564879.1	JX564879.1	JX564879.1	JX564879.1	-	-	AY844479.1	-	AY844693.1	-	-	-
Nyctimystes_narinosus	AY843703.1	AY843703.1	AY844308.1	-	-	-	-	-	-	GQ365992.1	AY843948.1	GQ366305.1	-	-	-	-	-	-	-	-	-	-	AY844694.1	-	-	AY844135.1
Nyctimystes_papua	FJ965943.1	FJ945445.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctimystes_pulcher	AY843701.1	AY843701.1	-	-	-	-	-	-	-	GQ365993.1	AY843946.1	GQ366306.1	-	-	-	-	-	-	AY948843.1	-	AY948941.1	-	AY844692.1	-	AY948907.1	AY844134.1
Nyctimystes_semipalmatus	FJ965945.1	FJ945447.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctimystes_zweifeli	FJ965949.1	FJ945451.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctixalus_margaritifer	-	EU178087.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nyctixalus_pictus	AF268253.1	AF268255.1	DQ283526.1	-	-	KC961092.1	KP996756.1	-	-	-	GQ204549.1	-	-	-	-	-	-	-	-	GQ285729.1	GQ204607.1	-	AY880634.1	DQ282689.1	-	KC961190.1
Nyctixalus_spinosus	-	KT461916.1	DQ283512.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ283827.1	-	-	-
Nymphargus_anomalus	KF639766.1	KF534364.1	-	-	-	-	-	-	-	-	-	HG764790.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nymphargus_bejaranoi	AY843576.1	AY843576.1	AY844208.1	-	-	KF534328.1	-	-	-	KP295535.1	AY843798.1	EU663155.1	-	-	-	-	-	-	KF534165.1	EU663239.1	EU663522.1	-	AY844549.1	AY844777.1	KF534250.1	AY844029.1
Nymphargus_chancas	KF639767.1	KF534365.1	-	-	-	-	-	-	-	-	-	HG764791.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nymphargus_cochranae	EU663425.1	EU663061.1	-	-	-	KF534329.1	-	-	-	KF534430.1	-	EU663156.1	-	-	-	-	-	-	KF534166.1	EU663240.1	EU663523.1	-	-	-	KF534251.1	-
Nymphargus_grandisonae	AY364540.1	HQ290946.1	-	-	-	KF534330.1	-	-	-	KF534431.1	HQ290526.1	HQ290946.1	HQ290946.1	-	-	-	-	-	HQ290706.1	EU663174.1	EU663443.1	-	-	-	KF534252.1	HQ290886.1
Nymphargus_griffithsi	EU663426.1	EU663062.1	-	-	-	KF534331.1	-	-	-	KF534432.1	-	EU663157.1	-	-	-	-	-	-	KF534168.1	EU663241.1	EU663524.1	-	-	-	KF534253.1	-
Nymphargus_lasgralarias	KF208512.1	KF208513.1	-	-	-	-	-	-	-	-	-	KF208514.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nymphargus_megacheirus	EU663427.1	EU663063.1	-	-	-	-	-	-	-	KF534433.1	-	EU663158.1	-	-	-	-	-	-	KF534169.1	EU663242.1	EU663525.1	-	-	-	KF534254.1	-
Nymphargus_mixomaculatus	KF639768.1	EU663064.1	-	-	-	KF534332.1	-	-	-	KF534434.1	-	EU663159.1	-	-	-	-	-	-	KF534170.1	EU663243.1	EU663526.1	-	-	-	KF534255.1	-
Nymphargus_ocellatus	KF639769.1	KF534366.1	-	-	-	KF534333.1	-	-	-	KF534435.1	-	HG764792.1	-	-	-	-	-	-	KF534171.1	KF639784.1	KF639787.1	-	-	-	KF534256.1	-
Nymphargus_pluvialis	EU663428.1	EU663065.1	-	-	-	KF534334.1	-	-	-	KF534436.1	-	EU663160.1	-	-	-	-	-	-	KF534172.1	EU663244.1	EU663527.1	-	-	-	KF534257.1	-
Nymphargus_posadae	KF639770.1	KF534367.1	-	-	-	-	-	-	-	KF534437.1	-	-	-	-	-	-	-	-	KF534173.1	-	EU663528.1	-	-	-	-	-
Nymphargus_puyoensis	KF639771.1	KF534368.1	-	-	-	-	-	-	-	-	-	HG764793.1	-	-	-	-	-	-	-	-	EU663478.1	-	-	-	-	-
Nymphargus_rosada	EU663429.1	EU663066.1	-	-	-	KF534335.1	-	-	-	KF534438.1	-	EU663161.1	-	-	-	-	-	-	KF534174.1	EU663245.1	EU663529.1	-	-	-	KF534258.1	-
Nymphargus_siren	EU663430.1	EU663067.1	-	-	-	KF534336.1	-	-	-	KF534439.1	-	EU663162.1	-	-	-	-	-	-	KF534175.1	EU663246.1	EU663530.1	-	-	-	KF534259.1	-
Nymphargus_vicenteruedai	-	-	-	-	-	KF534337.1	-	-	-	KF534440.1	-	-	-	-	-	-	-	-	KF534176.1	-	-	-	-	-	KF534260.1	-
Nymphargus_wileyi	EU663431.1	EU663068.1	-	-	-	KF534338.1	-	-	-	KF534441.1	-	EU663164.1	-	-	-	-	-	-	KF534177.1	EU663248.1	EU663532.1	-	-	-	KF534261.1	-
Occidozyga_baluensis	-	-	DQ283535.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ283844.1	DQ282699.1	-	DQ282936.1
Occidozyga_laevis	AY322329.1	U66139.1	-	-	-	-	-	-	-	EF017995.1	-	-	-	-	-	-	-	-	EF018020.1	-	DQ347254.1	-	AY322227.1	-	EF107378.1	AY322342.1
Occidozyga_lima	AB488880.1	AF206497.1	DQ283594.1	-	-	AB489066.1	KR087832.1	-	-	AB488920.1	AB488857.1	-	-	-	-	-	-	-	AB488937.1	-	AB488961.1	AB489001.1	AB489042.1	DQ282761.1	-	AB489018.1
Occidozyga_magnapustulosus	AF161030.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Occidozyga_martensii	KX021965.1	KX021965.1	-	KX021965.1	KX021965.1	-	KX021965.1	KX021965.1	KX021965.1	-	KX021965.1	GU177877.1	KX021965.1	GU177877.1	KX021965.1	KX021965.1	GU177877.1	KX021965.1	-	-	KU243099.1	-	DQ458268.1	DQ282829.1	-	DQ458283.1
Odontobatrachus_arndti	KP005311.1	KP005194.1	-	-	-	KP005344.1	-	-	-	-	KP005450.1	-	-	-	-	-	-	-	-	-	KP284872.1	-	-	KP005417.1	-	-
Odontobatrachus_fouta	KP005270.1	KP005153.1	-	-	-	KP005337.1	-	-	-	-	KP005443.1	-	-	-	-	-	-	-	-	-	KP005370.1	-	-	KP005410.1	-	-
Odontobatrachus_natator	JX546938.1	KP284863.1	-	-	-	KP005321.1	-	-	-	-	JX546968.1	-	-	-	-	-	-	-	-	-	KP005354.1	-	-	KP005391.1	-	-
Odontobatrachus_smithi	KP005262.1	KP005142.1	-	-	-	KP005335.1	-	-	-	-	KP005441.1	-	-	-	-	-	-	-	-	-	KP005368.1	-	-	KP005405.1	-	-
Odontobatrachus_ziama	KP005252.1	KP005135.1	-	-	-	KP005329.1	-	-	-	-	KP005435.1	-	-	-	-	-	-	-	-	-	KP284868.1	-	-	KP005399.1	-	-
Odontophrynus_achalensis	KP295642.1	KP295642.1	DQ283611.1	-	-	-	-	-	-	-	KP295748.1	KP295560.1	-	-	-	-	-	-	-	KP295581.1	KP295603.1	-	KP295726.1	DQ282773.1	-	KP295684.1
Odontophrynus_americanus	AY843704.1	AY843704.1	AY844309.1	-	-	-	JX203939.1	-	-	KP295536.1	JX298408.1	JX204059.1	-	-	-	-	-	-	-	JX298141.1	JX298191.1	-	KF214201.1	AY844901.1	-	JX298239.1
Odontophrynus_carvalhoi	KF214100.1	FJ685687.1	-	-	-	-	-	-	-	-	FJ685667.1	-	-	-	-	-	-	-	-	-	FJ685707.1	-	KF214202.1	-	-	-
Odontophrynus_cultripes	KF214101.1	FJ685688.1	-	-	-	-	-	-	-	-	FJ685668.1	-	-	-	-	-	-	-	-	-	FJ685708.1	-	KF214203.1	-	-	-
Odontophrynus_occidentalis	JX564880.1	JX564880.1	-	JX564880.1	JX564880.1	-	JX564880.1	JX564880.1	JX564880.1	-	JX564880.1	JX564880.1	JX564880.1	JX564880.1	JX564880.1	JX564880.1	JX564880.1	JX564880.1	AY948835.1	-	AY948934.1	-	-	-	AY948897.1	-
Odorrana_absita	-	EU861542.1	-	-	-	-	-	-	EU861516.1	-	-	-	EU861568.1	EU861516.1	-	-	-	-	-	-	EF088245.1	-	-	-	-	EU076768.1
Odorrana_amamiensis	AB200923.1	AB200947.1	-	-	-	-	-	-	-	-	-	-	AB600991.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_andersonii	EF453730.1	KR264064.1	-	-	-	-	JN700826.1	-	-	KR264306.1	KR264154.1	-	-	KF771312.1	KF771312.1	KF771312.1	KF771312.1	-	-	-	KR264387.1	-	DQ360018.1	-	-	KR264455.1
Odorrana_anlungensis	KF185013.1	KF185049.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_aureola	-	DQ650568.1	-	-	-	-	-	-	DQ650437.1	-	-	-	DQ650504.1	DQ650437.1	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_bacboensis	KT315364.1	AF206480.1	-	-	-	-	-	-	DQ650438.1	-	-	-	DQ650505.1	DQ650438.1	-	-	-	-	-	-	EF088254.1	-	-	-	-	EU076777.1
Odorrana_banaorum	AF206106.1	AF206487.1	-	-	-	-	-	-	DQ650456.1	-	-	-	DQ650523.1	DQ650456.1	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_chapaensis	DQ204430.1	DQ204475.1	DQ283690.1	-	-	-	KR087835.1	-	EU861527.1	-	-	-	EU861579.1	EU861527.1	-	-	-	-	-	-	EF088255.1	-	DQ283992.1	DQ282837.1	-	EU076778.1
Odorrana_chloronota	AB200930.1	KF477634.1	DQ283707.1	-	-	-	KR087837.1	-	DQ650462.1	-	-	-	DQ650529.1	DQ650462.1	-	-	-	-	-	-	EF088256.1	-	DQ284008.1	DQ282854.1	-	EU076779.1
Odorrana_exiliversabilis	KF185020.1	KF185056.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_fengkaiensis	KT315356.1	KT315380.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_geminata	-	EU861547.1	-	-	-	-	-	-	EU861522.1	-	-	-	EU861574.1	EU861522.1	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_grahami	EF453731.1	KF185051.1	DQ283607.1	-	-	-	-	-	EU861529.1	-	-	-	EU861581.1	EU861529.1	KF771313.1	KF771313.1	KF771313.1	-	-	-	KU840729.1	-	DQ360016.1	DQ282769.1	-	EU076780.1
Odorrana_graminea	KU840533.1	KR338171.1	-	-	-	-	KR087839.1	-	-	-	-	-	KR338318.1	-	-	-	-	-	-	-	KU840734.1	-	KP191585.1	-	-	KU840787.1
Odorrana_hainanensis	KU840530.1	KF185032.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KU840725.1	-	KU840664.1	-	-	-
Odorrana_hejiangensis	EF453732.1	KR338103.1	-	-	-	-	-	-	-	-	-	-	KR338211.1	-	-	-	-	-	-	-	KU840727.1	-	DQ360037.1	-	-	KU840788.1
Odorrana_hmongorum	-	FJ417120.1	-	-	-	-	-	-	EU861533.1	-	-	-	EU861585.1	EU861533.1	-	-	-	-	-	-	EF088258.1	-	-	-	-	EU076781.1
Odorrana_hosii	AB511284.1	KR264087.1	EU604219.1	-	-	-	AB511285.1	-	DQ650471.1	KR264331.1	KR264179.1	-	DQ650539.1	DQ650471.1	AB511283.1	-	AB511283.1	-	-	-	KU840732.1	-	KU840633.1	-	-	KF477513.1
Odorrana_huanggangensis	KF185023.1	KF185059.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_ishikawae	NC_015305.1	NC_015305.1	-	NC_015305.1	NC_015305.1	-	NC_015305.1	NC_015305.1	NC_015305.1	-	NC_015305.1	NC_015305.1	NC_015305.1	NC_015305.1	NC_015305.1	NC_015305.1	NC_015305.1	NC_015305.1	-	-	-	-	-	-	-	-
Odorrana_jingdongensis	KF185014.1	AF206483.1	-	-	-	-	KR087840.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_junlianensis	KF185022.1	KF185058.1	-	-	-	-	-	-	EU861538.1	-	-	-	EU861590.1	EU861538.1	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_khalam	KU840519.1	KU840606.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EF088272.1	-	KU840661.1	-	-	EU076783.1
Odorrana_kuangwuensis	KF184998.1	KF185034.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_leporipes	NC_032336.1	NC_032336.1	-	NC_032336.1	NC_032336.1	-	NC_032336.1	NC_032336.1	NC_032336.1	-	NC_032336.1	NC_032336.1	NC_032336.1	NC_032336.1	NC_032336.1	NC_032336.1	NC_032336.1	NC_032336.1	-	-	-	-	-	-	-	-
Odorrana_lipuensis	-	KM388701.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_livida	EF453733.1	KF771294.1	-	-	-	-	KR087842.1	-	DQ650481.1	-	KF771323.1	-	DQ650547.1	DQ650481.1	KF771314.1	KF771314.1	KF771323.1	KF771323.1	-	-	EF088260.1	-	DQ360022.1	-	-	EU076784.1
Odorrana_lungshengensis	KF185018.1	KF185054.1	-	-	-	-	KF771336.1	-	-	-	-	-	KF771336.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_margaretae	KJ815050.1	KJ815050.1	-	NC_024603.1	NC_024603.1	-	NC_024603.1	NC_024603.1	NC_024603.1	-	NC_024603.1	NC_024603.1	EU861592.1	NC_024603.1	NC_024603.1	NC_024603.1	NC_024603.1	NC_024603.1	-	-	EF088261.1	-	DQ360017.1	-	-	EU076785.1
Odorrana_morafkai	KU840526.1	AF206484.1	-	-	-	-	-	-	DQ650498.1	-	-	-	DQ650562.1	DQ650498.1	-	-	-	-	-	-	EF088263.1	-	KU840630.1	-	-	EU076787.1
Odorrana_mutschmanni	KU356764.1	KU356767.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_nanjiangensis	KF185006.1	KF185042.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_narina	AB511287.1	AB511287.1	-	-	-	-	AB511288.1	-	-	-	-	-	AB600990.1	-	AB511286.1	-	AB511286.1	-	-	-	-	-	-	-	-	-
Odorrana_nasica	DQ204449.1	DQ204494.1	DQ283667.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EF088264.1	-	DQ283971.1	DQ282821.1	-	EU076788.1
Odorrana_nasuta	KF185017.1	KF185053.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_schmackeri	KP732086.1	KP732086.1	-	KP732086.1	KP732086.1	-	KP732086.1	KP732086.1	KP732086.1	-	KP732086.1	KP732086.1	KP732086.1	KP732086.1	KP732086.1	NC_027827.1	KP732086.1	KP732086.1	-	-	KU840726.1	-	DQ360020.1	-	-	KU840792.1
Odorrana_supranarina	AB200926.1	AB200950.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_swinhoana	AB200929.1	KF185045.1	-	-	-	-	HQ650557.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_tianmuii	KF185004.1	KF185040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_tiannanensis	EF453736.1	AF206486.1	-	-	-	-	KR087851.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_tormota	DQ835616.1	DQ835616.1	-	DQ835616.1	DQ835616.1	-	DQ835616.1	DQ835616.1	DQ835616.1	-	DQ835616.1	DQ835616.1	DQ835616.1	NC_032110.1	DQ835616.1	DQ835616.1	NC_032110.1	DQ835616.1	-	-	EU076750.1	-	-	-	-	EU076766.1
Odorrana_utsunomiyaorum	AB200928.1	AB200952.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_versabilis	EF453737.1	KX269223.1	-	-	-	KX269298.1	KF771338.1	-	-	-	KX269367.1	-	KX269436.1	KF771316.1	KF771316.1	KF771316.1	KF771316.1	-	-	KX269512.1	KX269588.1	KX269663.1	DQ360015.1	-	KX269739.1	DQ360046.1
Odorrana_wuchuanensis	KF185007.1	KF185043.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Odorrana_yizhangensis	KP710901.1	KF185048.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KU840730.1	-	KU840663.1	-	-	-
Ololygon_angrensis	KY202820.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oninia_senglaubi	FR832634.1	FR832652.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oophaga_arborea	AF128611.1	AF098748.1	DQ502959.1	-	-	-	DQ502763.1	-	-	-	DQ502467.1	-	-	-	-	-	-	-	-	-	DQ503312.1	-	DQ503197.1	DQ503060.1	-	-
Oophaga_granulifera	EU342658.1	EU342659.1	DQ502958.1	-	-	-	HQ841131.1	-	-	-	HQ841103.1	-	-	-	-	-	-	-	-	-	DQ503311.1	-	DQ503196.1	DQ503059.1	-	-
Oophaga_histrionica	HQ290985.1	HQ290985.1	DQ502982.1	-	-	HQ290622.1	HQ841132.1	-	-	-	HQ841104.1	HQ290985.1	HQ290985.1	-	-	-	-	-	HQ290742.1	HQ290862.1	EU325915.1	-	-	DQ503083.1	-	HQ290922.1
Oophaga_lehmanni	-	-	DQ502957.1	-	-	-	DQ502761.1	-	-	-	DQ502465.1	-	-	-	-	-	-	-	-	-	DQ503310.1	-	DQ503195.1	DQ503058.1	-	-
Oophaga_pumilio	EU342664.1	HQ290988.1	-	-	-	HQ290625.1	DQ502909.1	-	-	-	EF646760.1	HQ290988.1	HQ290988.1	-	EU934732.1	-	-	-	HQ290745.1	HQ290865.1	GQ980855.1	-	-	-	-	HQ290925.1
Oophaga_speciosa	AF128596.1	AF098747.1	DQ502960.1	-	-	-	AF097503.1	-	-	-	DQ502468.1	-	-	-	-	-	-	-	-	-	EU325916.1	-	DQ503198.1	DQ503061.1	-	-
Oophaga_sylvatica	AY364569.1	HQ290990.1	DQ502965.1	-	-	HQ290627.1	DQ502781.1	-	-	-	HQ290567.1	HQ290990.1	HQ290990.1	-	-	-	-	-	HQ290747.1	HQ290867.1	DQ503317.1	-	-	DQ503065.1	-	HQ290927.1
Oophaga_vicentei	-	-	DQ503005.1	-	-	-	DQ502869.1	-	-	-	DQ502602.1	-	-	-	-	-	-	-	-	-	DQ503364.1	-	-	DQ503115.1	-	-
Ophryophryne_hansi	-	KX811913.1	-	-	-	KX812036.1	KX812155.1	-	-	-	-	-	-	-	-	-	-	-	-	-	KX812276.1	-	KX812396.1	DQ282840.1	-	DQ282988.1
Ophryophryne_microstoma	NC_032322.1	NC_032322.1	DQ283705.1	NC_032322.1	NC_032322.1	KX812040.1	NC_032322.1	NC_032322.1	NC_032322.1	-	NC_032322.1	NC_032322.1	NC_032322.1	NC_032322.1	NC_032322.1	NC_032322.1	NC_032322.1	NC_032322.1	-	-	KX812278.1	-	KX812398.1	DQ282852.1	-	-
Opisthothylax_immaculatus	-	KX492629.1	DQ283670.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492786.1	KX492832.1	-	DQ283866.1	-	-	KX492880.1
Oreobates_amarakaerij	JF809934.1	JF809998.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809913.1	-	-	-	-	JF809891.1
Oreobates_ayacucho	JF809933.1	JF809972.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809912.1	-	-	-	-	JF809890.1
Oreobates_barituensis	JF809935.1	JF809999.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809914.1	-	-	-	-	JF809892.1
Oreobates_berdemenos	-	KJ125509.1	-	-	-	-	-	-	-	-	KJ125511.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oreobates_choristolemma	JF809921.1	FJ539067.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809900.1	-	-	-	-	JF809881.1
Oreobates_crepitans	-	KJ125510.1	-	-	-	-	-	-	-	-	KJ125512.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oreobates_cruralis	EU186666.1	EU186666.1	-	-	-	-	-	-	-	-	EU368881.1	-	-	-	-	-	-	-	-	-	EU186743.1	-	-	-	-	EU186764.1
Oreobates_discoidalis	JF809925.1	FJ539068.1	-	-	-	-	-	-	-	-	EU368883.1	-	-	-	-	-	-	-	-	-	JF809904.1	-	-	-	-	JF809884.1
Oreobates_gemcare	JF809930.1	JF809961.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809909.1	-	-	-	-	-
Oreobates_granulosus	JF809929.1	EU368897.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809908.1	-	-	-	-	JF809887.1
Oreobates_heterodactylus	JF809923.1	EU192296.1	-	-	-	-	-	-	-	-	EU368886.1	-	-	-	-	-	-	-	-	-	JF809902.1	-	-	-	-	JF809882.1
Oreobates_ibischi	FJ438817.1	FJ438806.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oreobates_lehri	JF809927.1	FJ539069.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809906.1	-	-	-	-	-
Oreobates_lundbergi	JF809928.1	JF809958.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809907.1	-	-	-	-	JF809886.1
Oreobates_machiguenga	JF809932.1	JF809969.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809911.1	-	-	-	-	JF809889.1
Oreobates_madidi	JF809922.1	FJ539070.1	-	-	-	-	-	-	-	-	EU368887.1	-	-	-	-	-	-	-	-	-	JF809901.1	-	-	-	-	-
Oreobates_pereger	JF809926.1	JF809956.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809905.1	-	-	-	-	JF809885.1
Oreobates_quixensis	EF493828.1	EF493662.1	-	-	-	-	JX298360.1	-	-	-	JX298404.1	-	GU168783.1	-	-	-	-	-	-	AY819093.1	DQ679273.1	-	-	-	-	JF809893.1
Oreobates_remotus	-	JN688275.1	-	-	-	-	-	-	-	-	JN688278.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oreobates_sanctaecrucis	JF809924.1	EU368903.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809903.1	-	-	-	-	JF809883.1
Oreobates_sanderi	-	EU368904.1	-	-	-	-	-	-	-	-	EU368891.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oreobates_saxatilis	JF809931.1	EU186708.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF809910.1	-	-	-	-	JF809888.1
Oreolalax_chuanbeiensis	EF397266.1	EF397266.1	-	-	-	-	-	-	-	-	EU180929.1	-	-	-	EU180971.1	-	-	-	-	-	-	-	-	-	-	-
Oreolalax_jingdongensis	EF397255.1	EF397255.1	-	-	-	-	-	-	-	-	EU180930.1	EF544305.1	-	-	EU180972.1	-	-	-	-	-	EF397287.1	-	-	-	-	-
Oreolalax_liangbeiensis	EF397253.1	EF397253.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EF397286.1	-	-	-	-	-
Oreolalax_lichuanensis	NC_030627.1	NC_030627.1	-	NC_030627.1	NC_030627.1	-	NC_030627.1	NC_030627.1	NC_030627.1	-	NC_030627.1	EF544306.1	NC_030627.1	NC_030627.1	NC_030627.1	NC_030627.1	NC_030627.1	NC_030627.1	-	-	EF544353.1	-	-	-	-	-
Oreolalax_major	NC_030605.1	NC_030605.1	-	NC_030605.1	NC_030605.1	-	NC_030605.1	NC_030605.1	NC_030605.1	-	NC_030605.1	NC_030605.1	NC_030605.1	NC_030605.1	NC_030605.1	NC_030605.1	NC_030605.1	NC_030605.1	-	-	-	-	-	-	-	-
Oreolalax_multipunctatus	EF397268.1	EF397268.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EF397291.1	-	-	-	-	-
Oreolalax_nanjiangensis	NC_032319.1	NC_032319.1	-	NC_032319.1	NC_032319.1	-	NC_032319.1	NC_032319.1	NC_032319.1	-	NC_032319.1	NC_032319.1	NC_032319.1	NC_032319.1	NC_032319.1	NC_032319.1	NC_032319.1	NC_032319.1	-	-	-	-	-	-	-	-
Oreolalax_omeimontis	EF397264.1	EF397264.1	-	-	-	-	-	-	-	-	EU180928.1	-	-	-	EU180970.1	-	-	-	-	-	EF397289.1	-	-	-	-	-
Oreolalax_pingii	EF397259.1	EF397259.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EF397293.1	-	-	-	-	-
Oreolalax_popei	-	EF397267.1	-	-	-	-	-	-	-	-	AY561319.1	-	-	-	-	-	-	-	-	-	EF397290.1	-	-	-	-	-
Oreolalax_rhodostigmatus	EF397248.1	EF397248.1	-	-	-	-	-	-	-	-	AY561320.1	-	-	-	-	-	-	-	-	-	EF397294.1	-	-	-	-	-
Oreolalax_rugosus	EF397254.1	EF397254.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Oreolalax_schmidti	EF397257.1	EF397257.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EF397292.1	-	-	-	-	-
