Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Afrixalus_quadrivittatus	-	KF178889.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492751.1	KX492801.1	-	-	-	-	KX492844.1
Afrixalus_uluguruensis	-	KM509084.1	KC179831.1	-	-	KM509215.1	KM509750.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KC180294.1
Agalychnis_annae	GQ366221.1	GQ366221.1	-	-	-	-	-	-	-	GQ365977.1	GQ365913.1	GQ366291.1	-	-	-	-	-	-	-	EF158394.1	EF174311.1	-	-	-	-	GQ366198.1
Agalychnis_callidryas	AY843563.1	AY843563.1	-	-	-	EF407508.1	AB612053.1	-	-	AB612054.1	EF125028.1	FJ489334.1	-	-	-	-	-	-	AB612055.1	EF158395.1	AY323765.1	AY323780.1	AY323750.1	DQ282880.1	-	DQ283018.1
Agalychnis_moreletii	GQ366227.1	GQ366227.1	-	-	-	-	-	-	-	GQ365982.1	GQ365916.1	GQ366295.1	-	-	-	-	-	-	-	EF158397.1	EF174314.1	-	GQ366102.1	-	-	-
Agalychnis_saltator	AY326044.1	GQ366228.1	-	-	-	-	-	-	-	GQ365983.1	GQ365917.1	GQ366296.1	-	-	-	-	-	-	-	EF158398.1	EF174315.1	-	-	-	-	-
Agalychnis_spurrelli	AY326043.1	AY326043.1	-	-	-	-	-	-	-	-	EF125033.1	-	-	-	-	-	-	-	-	AY819151.1	EF174313.1	-	-	-	-	-
Agalychnis_terranova	-	KC589394.1	-	-	-	-	KP149183.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aglyptodactylus_chorus	-	KT159849.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aglyptodactylus_inguinalis	-	KT159857.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aglyptodactylus_laticeps	AY454349.1	AY454370.1	-	-	-	-	JN133053.1	-	-	-	JN132844.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aglyptodactylus_madagascariensis	AB325874.1	AB325874.1	DQ283469.1	-	-	KR479635.1	KR337843.1	-	-	-	AB325874.1	AB325874.1	AB325874.1	-	-	-	AB325874.1	-	-	-	AY571640.1	DQ019516.1	AF249103.1	-	-	AF249166.1
Aglyptodactylus_securifer	-	AY848008.1	-	-	-	-	JN133055.1	-	-	-	JN132846.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Albericus_exclamitans	-	KM509085.1	-	-	-	KM509216.1	KM509751.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509885.1
Albericus_laurini	EU100106.1	EU100223.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Albericus_siegfriedi	-	KM509086.1	-	-	-	KM509217.1	KM509752.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509886.1
Albericus_tuberculus	-	KM509087.1	-	-	-	KM509218.1	KM509753.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509887.1
Alcalus_baluensis	AY880467.1	KP298029.1	DQ283534.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ347270.1	-	DQ347389.1	DQ282698.1	-	DQ282935.1
Alcalus_mariae	KP298038.1	KP298038.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KP298166.1	KP298263.1	-	-	-	-	-
Alcalus_rajae	-	KP298028.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KP298163.1	-	-	-	-	-	KP298326.1
Alcalus_tasanae	KU243087.1	KU243089.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KU243098.1	-	KU243108.1	-	-	KU243118.1
Alexteroon_obstetricans	-	DQ283344.1	DQ283666.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ283864.1	DQ282820.1	-	DQ282969.1
Allobates_alagoanus	-	-	-	-	-	-	DQ502833.1	-	-	-	DQ502557.1	-	-	-	-	-	-	-	-	-	-	-	DQ503232.1	DQ503093.1	-	-
Allobates_algorei	HQ290950.1	HQ290950.1	-	-	-	HQ290590.1	-	-	-	-	HQ290530.1	HQ290950.1	HQ290950.1	-	-	-	-	-	HQ290710.1	HQ290830.1	-	-	-	-	-	HQ290890.1
Allobates_brunneus	EU342523.1	EU342523.1	DQ502994.1	-	-	-	DQ502910.1	-	-	-	DQ502670.1	-	-	-	-	-	-	-	-	-	DQ503347.1	-	DQ503237.1	DQ503098.1	-	-
Allobates_caeruleodactylus	EU342542.1	EU342542.1	-	-	-	-	DQ502899.1	-	-	-	DQ502647.1	-	-	-	-	-	-	-	-	-	DQ503329.1	-	DQ503218.1	DQ503080.1	-	-
Allobates_chalcopis	-	KC520676.1	-	-	-	-	KC520686.1	-	-	-	KC520690.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KC520695.1
Allobates_conspicuus	-	-	DQ502995.1	-	-	-	DQ502842.1	-	-	-	DQ502567.1	-	-	-	-	-	-	-	-	-	DQ503348.1	-	DQ503238.1	DQ503099.1	-	-
Allobates_crombiei	-	KF250509.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_femoralis	EU342535.1	HQ290951.1	DQ283465.1	-	-	HQ290591.1	KJ130660.1	-	-	-	DQ339066.1	HQ290951.1	HQ290951.1	-	-	-	-	-	HQ290711.1	HQ290831.1	DQ503385.1	-	DQ503264.1	DQ503131.1	-	JN691621.1
Allobates_fuscellus	-	-	-	-	-	-	KM024310.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_gasconi	EU342565.1	EU342562.1	-	-	-	-	DQ502898.1	-	-	-	DQ502644.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_granti	JN690183.1	JN690926.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JX298193.1	-	-	-	-	JN691577.1
Allobates_grillisimilis	-	KF250507.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_hodli	-	KX044281.1	-	-	-	-	-	-	-	-	JF690061.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_humilis	KJ940454.1	KJ940454.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_insperatus	HQ290959.1	HQ290959.1	-	-	-	HQ290599.1	-	-	-	-	HQ290539.1	HQ290959.1	HQ290959.1	-	-	-	-	-	HQ290719.1	HQ290839.1	-	-	-	-	-	HQ290899.1
Allobates_juanii	HQ290960.1	HQ290960.1	-	-	-	HQ290600.1	DQ502933.1	-	-	-	HQ290540.1	-	HQ290962.1	-	-	-	-	-	HQ290720.1	HQ290840.1	DQ503403.1	-	DQ503277.1	-	-	HQ290900.1
Allobates_kingsburyi	AY364550.1	HQ290963.1	-	-	-	HQ290601.1	-	-	-	-	HQ290541.1	HQ290963.1	HQ290963.1	-	-	-	-	-	HQ290721.1	HQ290841.1	-	-	-	-	-	HQ290901.1
Allobates_marchesianus	EU342544.1	EU342544.1	-	-	-	-	-	-	-	-	AF128585.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_masniger	-	JQ966889.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
